,CUST_ID,CUST_TYPE,CUST_NAME
437,1379,1,HASSANE MHAMDI
438,1380,1,AL MATJAR BAZAR
439,1381,1,DAR NEJJARINE
440,1382,1,RAFIA CRAFT
441,1383,1,COOPERATIVE MOGADOR
442,1384,1,PALAIS M'NEBHI
443,1385,1,DAR TIMTAM ART GALLERY
444,1386,1,ORIENTALE TENDANCE
445,1387,1,CAVERNE DU TROC
446,1388,1,GALERIE ALBADII
447,1389,1,LR-CONNECTION
448,1390,1,L'ART MAROCAIN
449,1391,1,MAMMAD DECORATION
450,1392,1,MSB DIFFUSION
451,1393,1,GALERIE POP
452,1394,1,PULSE COMPANY SERVICES
453,1395,1,LIJAC SARL
454,1396,1,MARTAL SARL
455,1397,1,MAOREX SARL
456,1398,1,ART ET DECOR 
457,1399,1,HENRY CATH
458,1400,1,FENYADI SARL
459,1401,1,LE NOUVEL ATLAS
460,1402,1,MORROCCO GALLERY . COM
461,1403,1,LA SOURCE DE TAPIS
462,1404,1,GALERIE JAMA
463,1405,1,OUAKKI FOSSIL ARTISANAT
464,1406,1,MAISON SIJILMASSA
465,1407,1,BAZAR OMAR
466,1408,1,TRIAB CONFECTION
467,1409,1,AKNOULTEX
468,1410,1,MOLT SAT SEMELL
469,1411,1,FASORTEX
470,1412,1,COTITE NORD
471,1413,1,SACCENT SARL
472,1414,1,AIT MANOS
473,1415,1,4B CONFECTION
474,1416,1,GALAXIE TEXTILE
475,1417,1,MAROQUINERIE ARI
476,1420,1,LA TULIPE
477,1421,1,S.O.C.O.B.E.T.A
478,1422,1,ROITEX
479,1423,1,IDOU CONFECTION
480,1424,1,MAJDA PLASTIQUE
481,1425,1,IBTITEX
482,1426,1,BEST VALLEY
483,1427,1,I.T.C
484,1428,1,ROMAIN
485,1429,1,PROMAILLE CONFECTION ( grpe BELKHAYATE)
486,1430,1,M.M.C
487,1431,1,H O S 3
488,1432,1,FILROC
489,1433,1,VALORIA CONFECTION
490,1434,1,S.M.F.N
491,1435,1,TEXTICOB
492,1436,1,AGZ CONFECTION
493,1437,1,ATLAS SOURCING
494,1438,1,FRECOTEX
495,1439,1,PLACE VENDOME
496,1440,1,PLF
497,1441,1,CAPFI
498,1442,1,ATELIER NIHAL
499,1443,1,TINJIS PRODUCTION
500,1444,1,MOROCCO DESTOCK ET SOURCING
501,1445,1,KENZA CLOTHING
502,1446,1,FAN MODE
503,1447,1,KAREN GERARD MAROC
504,1448,1,ITEX
505,1449,1,YOSSI BROD
506,1450,1,COFICLA MAROC
507,1451,1,CABILUX
508,1452,1,AYMACOF
509,1453,1,M TROIS A
510,1454,1,PEPER S
511,1455,1,ATIKA BOUTIQUE
512,1456,1,CAULLIEZ MAROC
513,1457,1,MAROCAINE DE TENTES ET BACHES-LMTB-
514,1418,1,STE S. D. C.
515,1419,1,BOYAUDERIE DRIMANO
516,1458,1,FOYTEX
517,1459,1,UTEX
518,1460,1,CHEZ ZOE
519,1461,1,SAMIA BRODERIE
520,1462,1,COCHEPA
521,1463,1,EDEN MAROC
522,1464,1,STE MOD'ELLE
523,1465,1,STE M & S STYLE
524,1466,1,MABOUD SARL
525,1467,1,DONNA SHOES SARL
526,1468,1,AZIZ COUTURE
527,1469,1,ATLAS WONDERS SARL
528,1470,1,TANIMPED ZONE FRANCHE SARL
529,1471,1,ROUACOF SARL
530,1472,1,SOCIETE CASPORT
531,1473,1,HI-TEX sarl
532,1474,1,SOPIDAM
533,1475,1,MAGIC FOURNITURE
534,1476,1,BALZATEX
535,1477,1,QUALIDIS
536,1478,1,MAROFEX
537,1479,1,DECACOF
538,1482,1,ATELIER 90
539,1483,1,SAMOTEX
540,1484,1,ARYANS
541,1485,1,QUATRO CONFECTION
542,1486,1,FORMULE 3
543,1487,1,ALLIANCE IND DU ZENITH
544,1488,1,CICOME
545,1489,1,ZAKIK FASHION
546,1490,1,EUROMODE
547,1480,1,HERITAGE
548,1481,1,OMEGA SHIRT
549,1491,1,MAISON DE ZOE
550,1492,1,STE KENZA BATOZA
551,1493,1,STE BERNITEX
552,1494,1,G FASHION
553,1495,1,ISYRAS
554,1496,1,CAUCHOS ARNEDO MAROC
555,1497,1,STE SOMIDATEX
556,1498,1,FFCIMEX(FALAKI HAKIM)
557,1499,1,SORAFLEX
558,1500,1,SOMITEX MORROCO SA
559,1501,1,EMMA LAMU SARL
560,1502,1,RINOTEX
561,1503,1,FASSIMAILLE
562,1504,1,NACOMA
563,1505,1,HANANE DESING
564,1506,1,LYS CAFTAN
565,1507,1,CREASUN
566,1508,1,OUMAMA CONFECTION
567,1509,1,"WEAM CHOUAIBI S,A,R,L"
568,1510,1,MAVELTEX
569,1511,1,NOMAD IN DISTRIBUTION
570,1512,1,PANTCO
571,1513,1,BENJAZ  S.A.R.L
572,1514,1,TENMAR
573,1515,1,NUEVO CALZADO INTERNATIONAL
574,1516,1,STORY JEAN'S
575,1517,1,KHAIM CUIR
576,1518,1,WML MOROCCO
577,1519,1,PALM WEAR 
578,1520,1,FREDERIQUE BIRKENEYER
579,1521,1,INDO
580,1522,1,STE DU GHASSOUL ET DE SES DERIVES SEFRIOUI
581,1523,1,PROMAMEC
582,1524,1,LABORATOIRES D'OPTIQUE HOURIA
583,1525,1,MEDIMAGE
584,1526,1,MAROC EXPO NET
585,1527,1,GEOMED
586,1528,1,PC DESING
587,1529,1,ROCHE S.A
588,1530,1,DIASUD
589,1531,1,BERIC S.A
590,1532,1,BIOLANDES MAROC
591,1533,1,LES PLANTES DU SOLEIL
592,1534,1,LAPROPHAN S.A
593,1535,1,BIORESINE INTERNATIONALE
594,1536,1,SANTIS
595,1537,1,PROMINDUS S.A
596,1538,1,AUDI OPTIC
597,1539,1,LABORATOIRES KOSMOPHARM
598,1540,1,Sté INDUSTRIELLE BENIDENT
599,1175,1,TRILOBITE
600,1176,1,ALL FOR BIKES
601,1177,1,DOUNITEX
602,1178,1,SYNOMEDA
603,1179,1,CESMA
604,1180,1,HADRI FRERES
605,1181,1,SICOPA
606,1182,1,SMEF
607,1183,1,LA PIERRE D'ERFOUD
